rid,title,meaning,likes,views,createdAt,updatedAt
1,achiwa mkoba,rithi uganga; pewa mkoba: kabidhiwa uganga,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
2,ana kifua,"ana moyo shupavu, ana ujasiri",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
3,aga dunia,"fariki dunia, kufa",0,0,2023-02-19 13:45:03.569+00,2025-11-21 20:35:02.847+00
4,ameula wa chuya,hakupata chochote,0,0,2023-02-19 13:45:03.569+00,2025-11-21 20:34:39.246+00
5,Amekufa fefefe,amehama fefefe: amehama moja kwa moja na hatarudi tena; amekufa kabisa,0,0,2023-02-19 13:45:03.569+00,2025-11-24 07:58:48.375+00
6,ambaa huko!,"toka!, ishia!, kwenda zako!",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
7,baridi ya mzizimo,baridi kali; Maji hayapozi moto ila yakiwa baridi: maneno makali hayawezi kusuluhisha mambo; baridi yabisi: ugonjwa ambao hukausha viungo vya binadamu kwa kukosa mafuta au uto viungoni unaosababishwa na baridei kali,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
8,ana mkono wa birika,kuwa mchoyo au mbanifu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
9,angusha serikali,pindua serikali,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
10,acha mkono,fariki : Rafiki yetu ametuacha mkono.,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
11,amefunga kizazi,hana kizazi kikubwa: hakuzaa sana; ameacha kuzaa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
12,aushi yangu,maisha yangu yote,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
13,baraka za kazole,baraka nyingi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
14,badili zamu,chukua kazi kwa kipindi fulani iliyokuwa inafanywa na mwingine,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
15,baridi yabisi,baridi ya mzizimo: baridi kali; Maji hayapozi moto ila yakiwa baridi: maneno makali hayawezi kusuluhisha mambo; ugonjwa ambao hukausha viungo vya binadamu kwa kukosa mafuta au uto viungoni unaosababishwa na baridi kali,0,0,2023-02-19 13:45:03.569+00,2025-11-22 20:16:18.597+00
16,angukia patupu,shindwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
17,bisha hodi,piga hodi; omba ruhusa ya kuingia ndani,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
18,angaza macho,"tazama kila mahali bila kikomo; finya jicho: konyeza; kaa macho: kuwa na tahadhari, kuwa macho kutopata usingizi; toka machoni: sahau; tupa macho: tazama kitu kwa haraka na mara moja bila kuonekana; yangu macho: mimi naangalia tu sisemi kitu",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
19,bahatika,pata nyara: pata kitu bila kutoa jasho; bahatika,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
20,changa karata,changanya karata,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
21,cheza dansi,cheza dansi; cheza ngoma; cheza kiuno: kata kiuno,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
22,chemshabongo,"fikiri, mafumbo au maswali yenye maana iliyofichika ambayo inamuhitaji mtu kutumia akili na ujuzi ili kuyajibu.",0,0,2023-02-19 13:45:03.569+00,2025-11-21 21:08:45.711+00
23,chanja uchale,chanja uchale; pigwa uchale,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
24,badilisha hewa enda mahali penye mazingira tofauti,punga hewa: kaa nje mahali penye upepo mwanana; punga upepo; badilisha hewa enda mahali penye mazingira tofauti,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
25,angua kicheko,cheka kwa sauti,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
26,bwaga matusi,bwaga moyo: tuliza moyo; toa matusi mengi,0,0,2023-02-19 13:45:03.569+00,2025-11-21 21:09:00.227+00
27,cheza kiuno,cheza dansi; cheza ngoma; kata kiuno,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
28,"chapa maji, chapa mtindi",chapa kazi: fanya kazi kwa bidii; kunywa pombe nyingi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
29,bembeleza macho,legeza macho kwa nia ya kushawishi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
30,bwaga zani,sababisha balaa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
31,bwaga moyo,tuliza moyo; Bwaga matusi: toa matusi mengi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
32,cheza shere,fanyia mzaha,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
33,chamba mtu,"tukana mtu, tolea mtu maneno machafu",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
34,chukuliwa na chechele,ingiwa na sahau; kanyaga chechele: potea njia,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
35,bubujika maneno,tokwa na maneno mengi kwa haraka,0,0,2023-02-19 13:45:03.569+00,2025-11-21 21:10:52.755+00
36,chochea ghasia,sababisha watu kufanya ghasia; fanya ghasia: sababisha fujo,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
37,chanja mbuga,toweka,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
38,chapa kazi,"fanya kazi kwa bidii; chapa maji, chapa mtindi: kunywa pombe nyingi",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
39,chungu meko,mtu mwenye kipato cha kumwezesha kupata chakula chake tu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
40,cheza ngoma,cheza dansi; cheza ngoma; cheza kiuno: kata kiuno,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
41,chuna buzi,"chuna jogoo: tahiri; chuna ngozi: jamii, tomba; chuna uso: ondoa haya; pata pesa kutoka kwa mwanamume",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
42,chuchia pepo,pandisha mzuka,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
43,chonganisho,kaa chonjo: kuwa na tahadhari; tia chonjo,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
44,changanya maneno,"sema kwa haraka bila ya kueleweka , changanya miguu: nenda kwa haraka",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
45,enda ahera,"kufa, fariki, aga dunia",0,0,2023-02-19 13:45:03.57+00,2025-11-21 21:10:03.739+00
46,egama pwani,fuata ukingo wa bahari; kabili mtu ili kupambana naye,0,0,2023-02-19 13:45:03.57+00,2025-11-21 21:12:47.302+00
47,enda kombo,"kuwa ovyoovyo, haribika, bila mafanikio",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
48,enda kinyume,fanya tofauti na jinsi ilivyotarajiwa,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
49,cheza ngoma goya,fanya jambo lisilokuwa na faida,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
50,chuna uso,"chuna jogoo: tahiri; chuna ngozi: jamii, tomba; ondoa haya; chuna buzi: pata pesa kutoka kwa mwanamume",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
51,enda masia,tembea kwa miguu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
52,enda kwa matao,enda kwa maringo,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
53,chungulia kaburi,karibia kufa,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
54,chuna ngozi,"chuna jogoo: tahiri; jamii, tomba; chuna uso: ondoa haya; chuna buzi: pata pesa kutoka kwa mwanamume",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
55,enda haja,enda kujisaidia,0,0,2023-02-19 13:45:03.57+00,2025-11-21 21:13:07.628+00
56,enda dalji,tembea kwa mapozi,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
57,chuna jogoo,"tahiri; chuna ngozi: jamii, tomba; chuna uso: ondoa haya; chuna buzi: pata pesa kutoka kwa mwanamume",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
58,enda arijojo,"enda ovyo , pepesuka : Pesa zake zimekuwa arijojo,Kishada changu kimekwenda arijojo.",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
59,enda chafya,"piga chafya; enda mbio: tembea haraka; kimbia, fanyika jambo upesi; enda na wakati: fanya jambo kulingana na wakati",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
60,enda shoti,enda mbio,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
61,enda kapa,shindwa kupata hata fungu moja,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
62,enda kasi,enda upesi,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
63,enda mfululizo,enda bila kusimama,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
64,enda mbio,"enda chafya: piga chafya; tembea haraka; kimbia, fanyika jambo upesi; enda na wakati: fanya jambo kulingana na wakati",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
65,fanya gube,fanya hila,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
66,enda mkoleni,hitimu mafunzo ya unyagoni,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
67,enda mbago,enda kila mtu akishika njia yake hasa kwa watu waliogombana na kufarakana,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
68,enda matiti,enda kwa vishindo,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
69,enda na wakati,"enda chafya: piga chafya; enda mbio: tembea haraka; kimbia, fanyika jambo upesi; fanya jambo kulingana na wakati",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
70,enda pewa,enda pewa,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
71,fanya ghasia,chochea ghasia: sababisha watu kufanya ghasia; sababisha fujo,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
72,enda suluhu,kuwa na nguvu sawa,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
73,enda telki,enda telki,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
74,enda tete,enda kama mtoto anayejifunza kutembea,0,0,2023-02-19 13:45:03.57+00,2025-11-21 21:14:25.03+00
75,enda uani,enda chooni,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
76,fanya inda,kuwa na wivu juu ya mtu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
77,fanya bidii,jitahidi; fanya kosa : tenda kosa; fanya mzaha : dhihaki;,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
78,fanya fitina,fanya fitina; tia fitina,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
79,fanya kosa,fanya bidii : jitahidi; tenda kosa; fanya mzaha : dhihaki;,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
80,fanya hadhari,fanya kwa makini; kuwa na hadhari: kuwa mwangalifu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
81,fanya hima,tembea chapuchapu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
82,fanya takilifu,fanya takilifu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
83,fariki dunia,"kufa, aga dunia",0,0,2023-02-19 13:45:03.57+00,2025-11-21 21:15:57.002+00
84,fanya kiwi,ona kwa shida; tia mtu kiwi: danganya mtu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
85,fanya kitambi,ota kitambi; kuwa na tumbo nene,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
86,fika njia,panda tatizika na jambo ukashindwa kufanya lolote,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
87,finya jicho,"angaza macho: tazama kila mahali bila kikomo; konyeza; kaa macho: kuwa na tahadhari, kuwa macho kutopata usingizi; toka machoni: sahau; tupa macho: tazama kitu kwa haraka na mara moja bila kuonekana; yangu macho: mimi naangalia tu sisemi kitu",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
88,fua dafu,"fanikiwa katika kufanya jambo fulani; fua maji: toa maji kutoka katika chombo kama mashua au jahazi, kausha maji yaliyomwagika chini kwa kitambaa au gunia",0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
89,fua dafu,fanikiwa,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
90,ficha kucha,kutoonyesha tabia halisi ya mtu,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
91,fanya kengele ilie hasa shuleni,piga kengele; Juma hupiga kengele kipindi cha masomo kinapoisha.,0,0,2023-02-19 13:45:03.57+00,2023-02-19 13:45:03.57+00
