rid,title,meaning,likes,views,createdAt,updatedAt
1,achilia mbali,achilia kabisa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
2,adimika kama wali wa daku.,Adimu/nadra kama mchele kwa chakula cha jioni,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
3,amelala fofofo,amelala kabisa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
4,ananuka kama fungo,ana harufu mbaya sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
5,ajizi nyumba ya njaa.,"Ajizi: Mtu ambaye hawezi kufanya kazi au ni mvivu.
Nyumba ya Njaa: Mahali ambapo kuna uhaba wa chakula au rasilimali.",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
6,asiye na bahati habahatishi,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
7,"aso hadhari, ng’ombe",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
8,ana mwendo wa konokono,anatembea polepole,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
9,ametia mbugi miguuni,amekuwa mtembezi sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
10,amemkalia mguu wa kausha,"amemzuilia kupata mafanikio, amemtilia choyo",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
11,akipewa shubiri huchukua pima.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
12,alfa na omega,mwanzo na mwisho,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
13,ala ala jirani,kuwa mwangalifu na jirani yako,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
14,ana usingizi wa pono,usingizi mzito,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
15,akali ya watu,watu wachache,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
16,bahati mbaya,hali ya kutofanikiwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
17,amri ya mungu,agizo la mungu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
18,ana pesa chungu nzima,ana pesa nyingi sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
19,barua ya moyo husomwa juu ya panda la uso.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
20,bahati ya mtende matokeo mazuri yasiyotarajiwa,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
21,bega kwa bega,kwa kushirikiana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
22,bila shaka,kwa hakika,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
23,alaa kulihali,vyovyote vile,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
24,bingita vitu,beba vitu mabegani na hasa vizito,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
25,ambacho bado hakijang'olewa hakikauki.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
26,beba mambo kifuani,jipa taabu nyingi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
27,balaa na beluwa,mgogoro mkubwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
28,baada ya dhiki faraja.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
29,biwi la wanaume,wanaume wengi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
30,buheri wa afya,afya nzuri,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
31,chagua kusuka au kunyoa.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
32,baa na beluwa,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
33,biwi la moto,moto mwingi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
34,bahati ina miujiza lakini haina ahadi,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
35,cha kaizari,kodi ya serikali,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
36,biashara ya pembeni,hapana cha kuambulia.,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
37,biwi la simanzi,huzuni nyingi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
38,cheza shere,fanyia mzaha,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
39,batri na shahiri,ndani na nje,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
40,choo kikubwa,kinyesi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
41,chukua mkopo,kopa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
42,chai ya mkandaa,chai isiyo na maziwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
43,chakula ni uhai.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
44,bahati nzuri,hali ya kufanikiwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
45,cha kuokota si cha kuiba.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
46,bure bilashi,"pasipo manufaa, pasipo faida, pasi na sababu",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
47,chimba dawa,kwenda haja ndogo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
48,debe tupu haliachi kutika.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
49,cheza pata potea,bahatisha bila ya kuwa na hakika,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
