rid,title,english,synonyms,meaning,conjugation,likes,views,createdAt,updatedAt
1,-ake,his/her/its,,-enye kumilikiwa na yeye (nafsi ya tatu umoja): kazi yake ; kiti chake ; mtoto wake ; pesa zake ; vitabu vyake,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
2,-ako,your (singular),,"-enye kumilikiwa na wewe (nafsi ya pili umoja) : gari lako; mpenzi wako; kisu chako, nyumba yako, mahala pako, pesa zako",,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
3,-aminifu,trustworthy,,"-enye tabia ya kutosema uongo au kutofanya udanganyifu, -enye kuaminika: Salum ni mtu mwaminifu.",,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
4,-anana,smooth,,-ororo : Upepo mwanana,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
5,-angu,my,,-enye kumilikiwa na mimi (nafsi ya kwanza umoja) : Kitabu hiki ni changu. Shangazi yangu amejifungua juzi.,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
6,-ao,their,,-enye kumilikiwa na wao (nafsi ya tatu wingi) : Nyumba yao ipo karibu na mto.,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
7,-badhirifu,wasteful,,-enye kutumia mali kwa uharibifu,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
8,-baya,bad,,"-ovu, -a kuchukiza, -a kudhuru, -a shari",,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
9,-bishi,argumentative,,-enye tabia ya kubishana na wenzake,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
10,-bivu,ripe,,"-lioiva, aghalabu tunda: Alichuma matunda mabivu.",,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
11,-bovu,rotten,,"-lioharibika, -siopendeza, -sioweza kutumika: Chakula hiki ni kibovu.",,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
